"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cytoplasmic translation","GO:0002181","true","5.602771037688566e-37","36.25159712500703","156","790","62","16307","RPL29,RPL34,RPL10A,RPL3,RPS17,RPS8,RPL13A,EIF3E,RACK1,RPL14,RPS21,RPL32,RPL10,RPL15,RPS14,RPL27A,RPL12,RPL35,RPS5,RPS6,RPL22,RPS23,RPL7A,RPL5,RPS2,RPL31,EIF2S3,RPL4,RPS4X,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,EIF3L,RPL8,RPL18,RPS15A,RPL37A,RPS11,RPS24,DPH2,EIF3H,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,EIF3D,RPL36,RPLP0,RPL24,EIF2S2,RPL35A,FAU,EIF3M,RPS7"
"GO:BP","peptide biosynthetic process","GO:0043043","false","1.004161279619958e-29","28.99819652899991","620","790","109","16307","GGT5,RPL29,FARS2,MYC,TOB1,ATF4,EEF1B2,RPL34,RPL10A,SHMT2,RPL3,EIF2AK2,RPS17,RPS8,RPL13A,EIF3E,RACK1,RPL14,RPS21,AARS1,RPL32,RPL10,RPL15,IARS1,CTIF,RPS14,NPM1,RPL27A,RPS27L,RPL12,RPL35,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,GGT1,RPL7A,RPL5,TARS1,RPS2,RPL31,EIF2S3,RPL4,LARS1,RPS4X,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,TYMS,EIF3L,RPL8,MRPS27,RPL18,RPS15A,YARS1,RPL37A,RPS11,RPS24,ASCC3,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,MRPL3,FARSB,DUS3L,EIF3D,BTG2,EEFSEC,RPL36,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,GARS1,PML,EEF1A1,EPRS1,VARS1,FAU,EIF3M,RPS7,MRPL24,NOLC1"
"GO:BP","translation","GO:0006412","false","1.004161279619958e-29","28.99819652899991","598","790","107","16307","RPL29,FARS2,MYC,TOB1,ATF4,EEF1B2,RPL34,RPL10A,SHMT2,RPL3,EIF2AK2,RPS17,RPS8,RPL13A,EIF3E,RACK1,RPL14,RPS21,AARS1,RPL32,RPL10,RPL15,IARS1,CTIF,RPS14,NPM1,RPL27A,RPS27L,RPL12,RPL35,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,RPL7A,RPL5,TARS1,RPS2,RPL31,EIF2S3,RPL4,LARS1,RPS4X,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,TYMS,EIF3L,RPL8,MRPS27,RPL18,RPS15A,YARS1,RPL37A,RPS11,RPS24,ASCC3,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,MRPL3,FARSB,DUS3L,EIF3D,BTG2,EEFSEC,RPL36,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,GARS1,PML,EEF1A1,EPRS1,VARS1,FAU,EIF3M,RPS7,MRPL24,NOLC1"
"GO:BP","peptide metabolic process","GO:0006518","false","2.0736919260742666e-28","27.683255763252646","763","790","120","16307","GGT5,RPL29,FARS2,MME,MYC,TOB1,ATF4,EEF1B2,RPL34,RPL10A,IMMP2L,SHMT2,RPL3,EIF2AK2,RPS17,RPS8,RPL13A,ERAP2,EIF3E,RACK1,RPL14,RPS21,AARS1,RPL32,RPL10,RPL15,IARS1,CTIF,RPS14,NPM1,RPL27A,CTSZ,RPS27L,RPL12,RPL35,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,GGT1,RPL7A,RPL5,TARS1,RPS2,RPL31,EIF2S3,RPL4,LARS1,RPS4X,HAP1,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,GPX1,EIF4B,RPS12,RPS3,TYMS,EIF3L,RPL8,MRPS27,RPL18,RPS15A,YARS1,RPL37A,RPS11,RPS24,ASCC3,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,CTSL,RPL6,HPGDS,MRPL3,FARSB,DUS3L,EIF3D,BTG2,EEFSEC,RPL36,NLN,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,GARS1,PML,EEF1A1,EPRS1,VARS1,FAU,EIF3M,ECE1,RPS7,SEC11A,MRPL24,NOLC1"
"GO:BP","amide biosynthetic process","GO:0043604","false","8.488317772649656e-27","26.07117837035024","738","790","115","16307","GGT5,RPL29,FARS2,MYC,TOB1,ATF4,EEF1B2,RPL34,RPL10A,SHMT2,RPL3,EIF2AK2,RPS17,RPS8,ELOVL6,RPL13A,EIF3E,RACK1,RPL14,RPS21,AARS1,RPL32,RPL10,RPL15,IARS1,CTIF,RPS14,NPM1,RPL27A,RPS27L,RPL12,RPL35,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,GGT1,RPL7A,RPL5,TARS1,RPS2,ACACA,RPL31,EIF2S3,RPL4,LARS1,RPS4X,ELOVL5,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,TYMS,EIF3L,RPL8,MRPS27,RPL18,RPS15A,YARS1,RPL37A,RPS11,ACSL3,RPS24,ASCC3,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,MRPL3,FARSB,DUS3L,EIF3D,BTG2,EEFSEC,RPL36,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,GARS1,PML,PDK4,EEF1A1,EPRS1,VARS1,ACSL4,FAU,EIF3M,RPS7,MRPL24,NOLC1"
"GO:BP","amide metabolic process","GO:0043603","false","2.777875750404024e-24","23.556287183407864","1006","790","133","16307","GGT5,RPL29,FARS2,MME,MYC,TOB1,ATF4,EEF1B2,RPL34,RPTOR,RPL10A,IMMP2L,SHMT2,RPL3,EIF2AK2,RPS17,RPS8,ELOVL6,RPL13A,ERAP2,EIF3E,RACK1,RPL14,RPS21,AARS1,HEXB,RPL32,RPL10,RPL15,IARS1,ACER2,CTIF,RPS14,NPM1,RPL27A,CTSZ,RPS27L,RPL12,RPL35,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,GGT1,RPL7A,RPL5,TARS1,RPS2,ACACA,RPL31,EIF2S3,RPL4,LARS1,RPS4X,HAP1,ELOVL5,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,GPX1,EIF4B,RPS12,RPS3,TYMS,EIF3L,RPL8,MRPS27,RPL18,PLPP3,VNN2,RPS15A,YARS1,RPL37A,RPS11,ACSL3,MVK,RPS24,ASCC3,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,CTSL,RPL6,HPGDS,MRPL3,FARSB,DUS3L,EIF3D,BTG2,EEFSEC,RPL36,NLN,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,GARS1,PML,PDK4,EEF1A1,EPRS1,VARS1,ACSL4,FITM2,FAU,EIF3M,ECE1,RPS7,SEC11A,MRPL24,NOLC1"
"GO:BP","cellular macromolecule biosynthetic process","GO:0034645","false","5.3972909778715804e-20","19.2678241676903","999","790","124","16307","HS3ST2,RPL29,FARS2,MYC,TOB1,ATF4,EEF1B2,RPL34,RPL10A,SHMT2,RPL3,EIF2AK2,RPS17,EXT1,RPS8,RPL13A,B3GNT5,EIF3E,RACK1,RPL14,RPS21,AARS1,RPL32,MAN1C1,RPL10,RPL15,IARS1,ACER2,CTIF,RPS14,NPM1,HS6ST1,RPL27A,RPS27L,RPL12,RPL35,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,RPL7A,RPL5,TARS1,ZDHHC14,RPS2,RPL31,EIF2S3,RPL4,LARS1,RPS4X,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,TYMS,EIF3L,RPL8,MRPS27,RPL18,GALNT11,XXYLT1,RPS15A,PIGU,XYLT1,YARS1,RPL37A,RPS11,RPS24,ASCC3,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,ST3GAL3,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,MRPL3,FARSB,DUS3L,EIF3D,BTG2,EEFSEC,RPL36,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,HS2ST1,GAL3ST4,FUT8,GARS1,PML,EEF1A1,EPRS1,VARS1,PIGV,FAU,EIF3M,RPS7,MRPL24,HHAT,NOLC1"
"GO:BP","organonitrogen compound biosynthetic process","GO:1901566","false","4.2536116575550235e-16","15.371242162453873","1495","790","151","16307","GPHN,HS3ST2,GGT5,PEMT,RPL29,FARS2,MYC,TOB1,ATF4,EEF1B2,RPL34,RPL10A,SHMT2,PARP9,RPL3,EIF2AK2,RPS17,EXT1,RPS8,ELOVL6,PFAS,RPL13A,B3GNT5,EIF3E,RACK1,RPL14,RPS21,AARS1,RPL32,MAN1C1,RPL10,RPL15,IARS1,ACER2,CTIF,RPS14,PAICS,NPM1,SRM,HS6ST1,RPL27A,PLSCR1,RPS27L,RPL12,RPL35,CHST2,FTO,EEF2,RPS5,WARS2,RPS6,RPL22,DIS3L2,RPS23,EIF4EBP1,GGT1,RPL7A,RPL5,ATP2B4,TARS1,ZDHHC14,RPS2,ACACA,RPL31,EIF2S3,RPL4,LARS1,ADA,RPS4X,ELOVL5,PUS7,MARS1,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,SDS,TYMS,EIF3L,RPL8,MRPS27,RPL18,GALNT11,PLPP3,XXYLT1,RPS15A,PIGU,XYLT1,YARS1,RPL37A,RPS11,IMPDH2,ACSL3,RPS24,ASCC3,MTAP,EIF2A,DPH2,NCK2,EIF3H,PUM3,EIF2D,ST3GAL3,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,MRPL3,FARSB,DUS3L,EIF3D,PRPS2,BTG2,EEFSEC,RPL36,RPLP0,TREM2,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,EIF2S2,RPL35A,HS2ST1,GAL3ST4,FUT8,CAD,ADCY4,GARS1,PML,PDK4,EEF1A1,EPRS1,VARS1,ACSL4,PIGV,FAU,EIF3M,RPS7,MRPL24,HHAT,NOLC1,SLC44A1"
"GO:BP","ribonucleoprotein complex biogenesis","GO:0022613","false","2.2719087131934438e-9","8.643609122852231","392","790","54","16307","ADAR,RPL10A,RPS17,RPS8,SPATA5,RPL13A,URB1,EIF3E,RPL14,RPS21,RPL10,RPS14,NPM1,RPS27L,RPL35,RSL24D1,RPS5,RPS6,IMP4,NOP16,FBL,RPL7A,RPL5,EIF2S3,RPL26,NOL6,RPS16,DIMT1,EIF4B,EIF3L,RRS1,NOB1,DKC1,RRP12,NSA2,SRSF6,RPS24,EIF2A,DDX10,NIFK,EIF3H,EIF2D,PRMT5,RPL6,EIF3D,RPLP0,NAT10,EIF2S2,RPL35A,BOP1,EIF3M,RPS7,NOP53,NOLC1"
"GO:BP","ribosome biogenesis","GO:0042254","true","2.3245840628488036e-9","8.633654744008211","247","790","41","16307","RPL10A,RPS17,RPS8,SPATA5,URB1,RPL14,RPS21,RPL10,RPS14,NPM1,RPS27L,RPL35,RSL24D1,RPS5,RPS6,IMP4,NOP16,FBL,RPL7A,RPL5,RPL26,NOL6,RPS16,DIMT1,RRS1,NOB1,DKC1,RRP12,NSA2,RPS24,EIF2A,DDX10,NIFK,RPL6,RPLP0,NAT10,RPL35A,BOP1,RPS7,NOP53,NOLC1"
