NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	108	-0.80307204	-3.072862	0.0	0.0	0.0	1529	tags=75%, list=13%, signal=85%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	114	-0.7937011	-3.0416377	0.0	0.0	0.0	1529	tags=75%, list=13%, signal=84%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	86	-0.8334791	-3.0348482	0.0	0.0	0.0	1529	tags=86%, list=13%, signal=98%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	95	-0.8097167	-3.0232484	0.0	0.0	0.0	1529	tags=80%, list=13%, signal=91%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	82	-0.8337152	-3.0204206	0.0	0.0	0.0	1529	tags=87%, list=13%, signal=98%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	150	-0.7497211	-2.9930127	0.0	0.0	0.0	1461	tags=61%, list=12%, signal=68%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	110	-0.7769855	-2.9896073	0.0	0.0	0.0	1565	tags=67%, list=13%, signal=76%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	107	-0.78353494	-2.9571304	0.0	0.0	0.0	1529	tags=68%, list=13%, signal=77%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	195	-0.6956298	-2.837576	0.0	0.0	0.0	2135	tags=61%, list=17%, signal=72%	
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Details ...	153	-0.6910948	-2.7992473	0.0	0.0	0.0	1565	tags=50%, list=13%, signal=56%	
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	Details ...	145	-0.69177175	-2.727598	0.0	0.0	0.0	1461	tags=55%, list=12%, signal=62%	
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	Details ...	148	-0.6630686	-2.6462402	0.0	0.0	0.0	1529	tags=50%, list=13%, signal=56%	
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	Details ...	189	-0.62416667	-2.5981503	0.0	0.0	0.0	1565	tags=44%, list=13%, signal=50%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Details ...	57	-0.7617104	-2.5606363	0.0	0.0	0.0	1945	tags=77%, list=16%, signal=91%	
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	34	-0.80861765	-2.4354284	0.0	0.0	0.0	1461	tags=85%, list=12%, signal=97%	
REACTOME_TRNA_AMINOACYLATION	REACTOME_TRNA_AMINOACYLATION	Details ...	41	-0.71661144	-2.3571496	0.0	0.0	0.0	1430	tags=51%, list=12%, signal=58%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	68	-0.66299075	-2.313683	0.0	0.0	0.0	2913	tags=69%, list=24%, signal=90%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.6618186	-2.27755	0.0	0.0	0.0	2390	tags=68%, list=20%, signal=85%	
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	46	-0.70546466	-2.2765708	0.0	0.0	0.0	2251	tags=72%, list=18%, signal=88%	
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	Details ...	24	-0.7953094	-2.2698166	0.0	0.0	0.0	1104	tags=67%, list=9%, signal=73%	
GOBP_RIBOSOME_ASSEMBLY	GOBP_RIBOSOME_ASSEMBLY		57	-0.6507937	-2.2306929	0.0	1.0211612E-4	0.002	2143	tags=54%, list=18%, signal=66%	
GOBP_AMINO_ACID_ACTIVATION	GOBP_AMINO_ACID_ACTIVATION		42	-0.6768805	-2.1790667	0.0	4.3849752E-4	0.008	1430	tags=43%, list=12%, signal=48%	
