NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.78277856	2.6445765	0.0	0.0	0.0	1593	tags=66%, list=13%, signal=75%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	186	0.71458346	2.6185477	0.0	0.0	0.0	1859	tags=55%, list=15%, signal=64%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	71	0.76826024	2.4939961	0.0	0.0	0.0	1045	tags=42%, list=9%, signal=46%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	57	0.7861593	2.4586308	0.0	0.0	0.0	1045	tags=47%, list=9%, signal=52%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	46	0.81801933	2.4392166	0.0	0.0	0.0	1045	tags=52%, list=9%, signal=57%	
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	72	0.73857975	2.3815305	0.0	0.0	0.0	1045	tags=38%, list=9%, signal=41%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	Details ...	166	0.6366	2.307614	0.0	0.0	0.0	1045	tags=25%, list=9%, signal=27%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	156	0.64698046	2.2934003	0.0	0.0	0.0	1298	tags=42%, list=11%, signal=46%	
GOBP_REGULATION_OF_VIRAL_PROCESS	GOBP_REGULATION_OF_VIRAL_PROCESS	Details ...	132	0.6383797	2.2127674	0.0	0.0	0.0	909	tags=27%, list=7%, signal=28%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	124	0.6317818	2.202427	0.0	0.0	0.0	1140	tags=39%, list=9%, signal=42%	
