ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,geneNums
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,92,-0.862463827514177,-2.96625028818088,1e-10,4.28145161290323e-09,2.73938879456706e-09,1038,tags=73%, list=8%, signal=68%,54809/94240/91543/8519/2766/5610/7318/103/55008/81894/23424/4343/2634/55072/1435/4599/219285/79132/5684/55281/841/7726/51667/3660/3600/834/55601/129607/3669/3665/83666/54625/4938/10964/27074/8638/972/10561/3433/3437/3429/3431/11274/51056/9636/64108/64761/10437/567/6737/3107/64135/6373/10379/116071/3430/5359/9111/3659/3627/9246/5696/5720/6890/5721/115361/5698,67
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,194,-0.753868688911136,-2.96417167784041,1e-10,4.28145161290323e-09,2.73938879456706e-09,1215,tags=55%, list=9%, signal=50%,6648/8767/22914/4600/94240/3560/3662/942/91543/5610/3117/25939/103/958/3937/55008/81894/629/23424/969/80830/3135/5683/3001/10068/317649/6398/4940/84166/55072/4792/4599/4939/219285/8651/79132/3695/54739/5684/3717/5777/3601/57823/841/7726/3660/2643/5771/6892/10797/3600/834/256586/55601/6352/129607/3669/3665/54625/4283/10964/8638/972/81030/10561/3433/3437/3429/3123/8673/3434/3431/11274/51056/29126/9636/4261/64108/6772/64761/10437/567/6737/3620/8743/3106/64135/6373/10379/3108/5699/116071/3105/3430/5359/952/9111/3659/3627/9246/5696/5720/6890/5721/115361/5698,106
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,186,-0.69982656519095,-2.7455349239682,1e-10,4.28145161290323e-09,2.73938879456706e-09,2515,tags=60%, list=19%, signal=49%,4001/3184/29980/6241/1786/146909/11340/7913/57122/8243/5983/5901/4678/55646/1965/3925/6119/8726/4176/55143/9319/10615/7153/3161/4174/11113/10714/1027/5558/1031/57405/64785/1062/10733/9787/4173/9837/10460/3159/27338/10535/4171/4175/9700/6118/3070/11168/10549/7112/7374/8914/7398/1019/898/56655/64858/5036/147841/55723/983/24137/1033/4172/991/3838/1111/2547/10528/5902/5982/29127/9238/6839/1163/3835/5931/23649/9133/10635/4085/1854/83461/5347/5425/79733/4830/9232/11004/1164/54962/6628/83463/7884/1029/84844/10248/55635/332/79077/7083/29089/11200/1633/9833/204/9212/5111/79019/6941/10797/3148,111
INTERFERON SIGNALING,INTERFERON SIGNALING,168,-0.698387564714846,-2.69318152014664,1e-10,4.28145161290323e-09,2.73938879456706e-09,1042,tags=40%, list=8%, signal=37%,3119/3662/10346/91543/8519/5610/3117/7318/25939/103/3838/3118/129401/3135/2634/10475/7324/6672/317649/80263/4940/4599/4939/8651/54739/3717/5777/7726/2537/3660/79023/4927/79902/3669/3115/3665/4938/8638/3127/115362/3433/3437/3429/3123/3434/2633/11274/3113/9636/4261/3122/6772/10437/567/6737/3107/3133/3106/10379/51191/3105/3430/3134/3659/9246/5696/115361,67
MITOCHONDRIAL GENE EXPRESSION,MITOCHONDRIAL GENE EXPRESSION,122,-0.717824391328207,-2.63639735429957,1e-10,4.28145161290323e-09,2.73938879456706e-09,2790,tags=70%, list=21%, signal=56%,55278/54148/64969/54802/124995/55157/25821/26284/51642/90480/92259/51263/63931/64975/64432/28977/64965/6183/51021/51067/65993/26589/7818/51650/64983/57129/51258/64216/51318/28957/64976/80324/87178/84545/4701/6832/28998/7019/55052/51264/63875/64979/6182/128308/116541/84275/54998/51253/740/64960/7284/116540/64981/283459/219927/64963/6150/29093/51081/118487/51649/29088/64951/9238/79590/54460/122704/64949/51073/65005/51023/56945/10884/64978/28973/51373/64968/29074/10102/80222/51069/65003/55168/3028/54948/64928,86
SYNTHESIS OF DNA,SYNTHESIS OF DNA,109,-0.728136855914079,-2.61576895282799,1e-10,4.28145161290323e-09,2.73938879456706e-09,2323,tags=61%, list=17%, signal=50%,5693/5682/5985/5983/9861/6119/1763/5719/7311/51434/5427/5688/4176/54107/2237/4174/10714/1017/5558/5690/64785/5702/4173/9837/4171/4175/10393/8318/5717/6118/5715/5984/10213/11065/5713/9978/898/56655/5706/51529/5694/5685/4172/5982/5683/23649/7324/5691/5689/5425/5684/5701/5557/890/51659/5111/5710/81620/5692/5686/5687/5699/5696/5720/5721/5698,66
MITOCHONDRIAL TRANSLATION ELONGATION,MITOCHONDRIAL TRANSLATION ELONGATION,86,-0.754530922717031,-2.61077641018578,1e-10,4.28145161290323e-09,2.73938879456706e-09,2167,tags=76%, list=16%, signal=64%,90480/92259/51263/63931/64975/64432/28977/64965/6183/51021/65993/26589/7818/51650/64983/57129/51258/51318/28957/64976/84545/28998/55052/51264/63875/64979/6182/128308/116541/54998/51253/740/64960/7284/116540/64981/219927/64963/6150/29093/51081/118487/51649/29088/64951/79590/54460/122704/64949/51073/65005/51023/56945/10884/64978/28973/51373/64968/29074/10102/51069/65003/55168/54948/64928,65
INTERFERON ALPHA BETA SIGNALING,INTERFERON ALPHA BETA SIGNALING,53,-0.825633510194316,-2.60586734194732,1e-10,4.28145161290323e-09,2.73938879456706e-09,970,tags=64%, list=7%, signal=60%,3662/91543/8519/25939/103/3135/2634/4940/4599/4939/8651/54739/5777/2537/3660/3669/3665/4938/8638/3433/3437/3429/3434/11274/9636/3107/3133/3106/10379/3105/3430/3134/3659/5696,34
RESPONSE TO TYPE I INTERFERON,RESPONSE TO TYPE I INTERFERON,54,-0.8178687621382,-2.59235711245885,1e-10,4.28145161290323e-09,2.73938879456706e-09,970,tags=61%, list=7%, signal=57%,3662/91543/8519/25939/103/3135/2634/6672/4940/4599/4939/54739/2537/3660/3669/3665/4938/8638/3433/3437/3429/3434/9636/6772/3107/3133/3106/10379/3105/3430/3134/3659/5696,33
MITOCHONDRIAL TRANSLATION INITIATION,MITOCHONDRIAL TRANSLATION INITIATION,86,-0.748748046045406,-2.5907668949456,1e-10,4.28145161290323e-09,2.73938879456706e-09,2728,tags=80%, list=20%, signal=64%,54148/64969/124995/26284/123263/51642/90480/92259/51263/63931/64975/64432/28977/64965/6183/51021/65993/26589/7818/51650/64983/57129/51258/51318/28957/64976/84545/28998/55052/51264/63875/64979/6182/128308/116541/54998/51253/740/64960/116540/64981/219927/64963/6150/29093/51081/118487/51649/29088/64951/79590/54460/122704/64949/51073/65005/51023/56945/10884/64978/28973/51373/64968/29074/51069/65003/55168/54948/64928,69
